id,time,gen2val,gen3val,ACE_part_for_gen2,ACE_part_for_gen3,set_point_for_gen2,set_point_for_gen3
1,0 days 13:15:07,163.0,85.0,0.0,0.0,163.0,85.0
2,0 days 13:15:07,163.0,85.0,0.0,0.0,163.0,85.0
3,0 days 13:15:12,163.0,85.0,0.0,0.0,163.0,85.0
4,0 days 13:15:17,163.0,85.0,0.0,0.0,163.0,85.0
5,0 days 13:15:22,163.0,85.0,0.0,0.0,163.0,85.0
6,0 days 13:15:27,163.0,85.0,0.0,0.0,163.0,85.0
7,0 days 13:15:32,162.116,84.5966,-1.132,1.1259,164.38,82.3448
8,0 days 13:15:37,162.23,84.6385,-1.0898,1.0842,164.41,82.4701
9,0 days 13:15:42,162.24,84.6447,-1.1093,1.104,164.459,82.4367
10,0 days 13:15:47,162.245,84.6483,-1.1253,1.1203,164.496,82.4077
11,0 days 13:15:52,162.258,84.6556,-1.1409,1.1361,164.54,82.3834
12,0 days 13:15:57,162.271,84.6627,-1.1561,1.1517,164.583,82.3593
13,0 days 13:16:02,162.284,84.6696,-1.1709,1.1669,164.626,82.3358
14,0 days 13:16:07,162.296,84.6728,-1.1852,1.1815,164.666,82.3098
15,0 days 13:16:12,162.308,84.6772,-1.1991,1.1956,164.706,82.286
16,0 days 13:16:17,162.32,84.6814,-1.2128,1.2095,164.746,82.2624
17,0 days 13:16:22,162.332,84.6857,-1.226,1.2232,164.784,82.2393
18,0 days 13:16:27,163.428,84.8927,0.3389,-0.3362,162.75,85.5651
19,0 days 13:16:32,163.127,85.0636,-0.176,0.1796,163.479,84.7044
20,0 days 13:16:37,163.147,85.069,-0.1644,0.168,163.476,84.733
21,0 days 13:16:42,163.144,85.0678,-0.1618,0.1653,163.468,84.7372
22,0 days 13:16:47,163.142,85.0666,-0.1591,0.1624,163.46,84.7418
23,0 days 13:16:52,163.139,85.0654,-0.1563,0.1596,163.452,84.7462
24,0 days 13:16:57,163.137,85.0643,-0.1536,0.1569,163.444,84.7505
25,0 days 13:17:02,170.72,88.5522,-33.9356,34.3695,238.591,19.8132
26,0 days 13:17:07,170.152,88.3681,-33.8942,34.3218,237.94,19.7245
27,0 days 13:17:12,169.949,88.2697,-33.5527,33.9728,237.054,20.3241
28,0 days 13:17:17,169.732,88.166,-33.2251,33.6379,236.182,20.8902
29,0 days 13:17:22,169.497,88.0557,-32.8774,33.2823,235.252,21.4911
30,0 days 13:17:27,169.246,87.9377,-32.5065,32.9034,234.259,22.1309
31,0 days 13:17:32,162.213,85.8344,-0.1185,0.1016,162.45,85.6312
32,0 days 13:17:37,162.031,84.5304,1.1645,-1.1868,159.702,86.904
33,0 days 13:17:42,162.078,84.5683,1.0032,-1.0236,160.072,86.6155
34,0 days 13:17:47,162.126,84.5887,0.9729,-0.9927,160.18,86.5741
35,0 days 13:17:52,162.151,84.6007,0.9433,-0.9625,160.264,86.5257
36,0 days 13:17:57,154.307,80.9201,38.7171,-38.9167,76.8727,158.753
37,0 days 13:18:02,154.432,80.9776,38.3908,-38.5875,77.6503,158.153
38,0 days 13:18:07,154.584,81.0425,38.3595,-38.5546,77.8651,158.152
39,0 days 13:18:12,154.703,81.0981,38.2962,-38.4898,78.1107,158.078
40,0 days 13:18:17,154.819,81.1512,38.2398,-38.4322,78.3394,158.016
41,0 days 13:18:22,163.514,85.1751,0.1275,-0.1248,163.259,85.4247
42,0 days 13:18:27,163.106,85.0493,-0.1075,0.1098,163.321,84.8297
43,0 days 13:18:32,163.083,85.0396,-0.099,0.1012,163.281,84.8372
44,0 days 13:18:37,163.083,85.0391,-0.0929,0.095,163.269,84.8491
45,0 days 13:18:42,163.081,85.0383,-0.0914,0.0934,163.264,84.8515
46,0 days 13:18:47,163.08,85.0376,-0.0897,0.0918,163.259,84.854
47,0 days 13:18:52,163.079,85.037,-0.0881,0.0901,163.255,84.8568
48,0 days 13:18:57,163.077,85.0363,-0.0865,0.0884,163.25,84.8595
49,0 days 13:19:02,163.076,85.0356,-0.085,0.0868,163.246,84.862
50,0 days 13:19:07,163.074,85.035,-0.0834,0.0852,163.241,84.8646
51,0 days 13:19:12,163.073,85.0344,-0.0819,0.0838,163.237,84.8668
52,0 days 13:19:17,163.072,85.0337,-0.0804,0.0822,163.233,84.8693
